Image Name,RHA,RHAZ,LHA,LHAZ,REA,REAZ,LEA,LEAZ,RKA,RKAZ,LKA,LKAZ,RSA,RSAZ,LSA,LSAZ
(18).jpg:,"98.57438049183659
",-0.673329931,"153.32696006859967
",0.315213224,"169.80102799824127
",0.509382271,"156.7096370651229
",-1.742028496,"165.83994142312145
",-0.318209727,"0.19363109391149463
",-1.340499924,"172.80976890227342
",0.69630544,"155.42604248900122
",0.051777231
(19).jpg:,"104.80588237380833
",-0.484214007,"179.72929909087807
",1.056741218,"160.68523511049966
",-0.590612971,"165.15174660485573
",-0.144001349,"177.4058795948177
",1.102990815,"18.353479769386205
",1.109076391,"155.69575709040888
",0.059958611,"138.35411092322948
",-1.772264529
(20).jpg:,"104.72813974425851
",-0.486573369,"162.68864899313743
",0.578142747,"166.565962627738
",0.119009589,"163.38819846941763
",-0.477827602,"176.06878275741477
",0.938690892,"10.148920311066247
",0.002365929,"152.85620118296197
",-0.04562402,"150.30552156301042
",-0.495322198
(21).jpg:,"165.4833897524024
",1.357249436,"108.01041062452121
",-0.957533481,"161.2012071113042
",-0.528351053,"168.1520897391494
",0.423940794,"169.74883906620158
",0.1621082,"1.0558637782384386
",-1.224193627,"146.76205425081977
",-0.272221448,"148.85448416701624
",-0.650357543
(22).jpg:,"102.68845562845132
",-0.548474457,"169.9856801565945
",0.783084926,"168.24371818472522
",0.321462975,"169.43094619230726
",0.666018597,"178.09706938227765
",1.187922905,"11.272396959883883
",0.153911343,"159.05666759231258
",0.184926664,"151.41164092304825
",-0.377139443
(23).jpg:,"106.86258631710467
",-0.421796395,"155.17409411449268
",0.367091264,"161.21451971840085
",-0.526744632,"160.30089829662273
",-1.06223005,"167.21112618855344
",-0.149721144,"0.12326536893447619
",-1.349991535,"155.56592275731023
",0.055131008,"148.49930627400605
",-0.688306342
(24).jpg:,"165.5390342623305
",1.358938156,"115.62813894087013
",-0.7435843,"153.50979514733794
",-1.456467419,"166.12488215029774
",0.040205811,"157.13414650929923
",-1.387961291,"17.58885405318544
",1.005936267,"132.1177232907479
",-0.816738635,"134.04033453531238
",-2.233167752
(25).jpg:,"108.61391683820011
",-0.368646368,"178.85298261140392
",1.032129262,"169.50261765345772
",0.47337334,"171.11585708840255
",0.984959418,"168.4034030406167
",-0.003216426,"25.719751571434433
",2.102710493,"156.34953679484963
",0.084267969,"153.84229706505965
",-0.117437236
(26).jpg:,"106.43951352809631
",-0.434635964,"157.38723431225483
",0.429248841,"171.76118105079118
",0.74591233,"166.50004734088103
",0.111221729,"148.0258099855729
",-2.507176404,"6.383508100687548
",-0.505549348,"162.96191552847841
",0.330134706,"155.2269072701234
",0.030500731
(27).jpg:,"89.52083877051132
",-0.948090165,"167.89132820641586
",0.724263599,"176.42224396150743
",1.308358964,"169.2889146726719
",0.63913311,"177.93131264823302
",1.167555032,"14.254597886271213
",0.556179494,"162.40361762058436
",0.309375628,"171.70660938736413
",1.79126604
(28).jpg:,"111.04011637603136
",-0.295015167,"159.23237118183707
",0.481070789,"168.20942236074592
",0.317324526,"167.71289201899944
",0.340804005,"174.84081704251005
",0.787800794,"4.205471989117372
",-0.799343959,"160.7655746261204
",0.248468608,"153.98252911113696
",-0.102454215
(29).jpg:,"100.41344542328751
",-0.617517308,"167.38756015523813
",0.710114924,"162.09578388085
",-0.420403209,"159.09924936109635
",-1.289693057,"170.03617284095853
",0.197415229,"6.841395732822716
",-0.443785029,"166.85950598900473
",0.475058021,"157.12960204292926
",0.233793177
